length,GradeSchool,Karatsuba,Divivde&Conquer
1,3.6e-05,2e-06,3e-06
10,8e-05,0.000372,0.000801
20,0.000145,0.001114,0.002495
30,0.000266,0.00203,0.004326
40,0.000437,0.002898,0.008632
50,0.000528,0.004027,0.011712
60,0.000693,0.004924,0.014201
70,0.000859,0.006083,0.021102
80,0.001105,0.00769,0.027435
90,0.001268,0.009067,0.034118
100,0.002057,0.010138,0.03929
200,0.005602,0.032097,0.151698
300,0.01228,0.060079,0.337859
400,0.022698,0.086609,0.608892
500,0.03256,0.114343,0.744827
600,0.048415,0.178778,1.36668
700,0.060312,0.217515,1.92068
800,0.07865,0.254968,2.3337
900,0.100235,0.298716,2.71493
1000,0.129349,0.351489,2.93375
2000,0.521614,1.05536,11.8803
3000,1.07935,2.18465,32.9524
4000,1.94733,3.18871,47.4151
5000,2.81625,4.89824,93.8601
6000,4.33268,6.15639,133.153
7000,5.51247,7.83327,164.334
8000,7.60609,9.51496,188.668
9000,9.40204,12.6885,273.225
10000,12.0466,14.9939,375.446
11000,14.0718,16.9583,456.172
12000,17.3071,18.5978,534.121
13000,19.6334,21.1428,599.804
14000,23.3287,26.5983,688.495
15000,28.3221,28.662,761.236
16000,32.6658,30.7366,848.937
17000,37.1564,33.8002,955.129
18000,37.6331,37.8571,1153.12
19000,44.7692,42.0063,1333.61
20000,47.9678,44.207,1510.33
25000,74.5772,61.6724,2317.39
30000,106.025,80.2244,2902.41
35000,143.845,110.146,4115.47
40000,197.082,144.795,8455.88
